id,date,product,category,quantity,revenue,region,customer
1,2024-01-15,Laptop Pro,Electronics,5,7500.00,North,TechCorp Inc
2,2024-01-18,Wireless Mouse,Electronics,12,360.00,South,Office Solutions
3,2024-01-22,Office Chair,Furniture,8,2400.00,East,Workspace Ltd
4,2024-02-05,Standing Desk,Furniture,4,2000.00,North,ErgoOffice
5,2024-02-10,Monitor 27",Electronics,10,3500.00,West,Display Solutions
6,2024-02-15,Keyboard Mechanical,Electronics,15,1125.00,South,Tech Retailers
7,2024-02-20,Conference Table,Furniture,2,3000.00,East,Meeting Rooms Co
8,2024-03-03,Tablet Device,Electronics,7,3500.00,North,Mobile Tech
9,2024-03-08,Ergonomic Mouse,Electronics,20,800.00,West,Comfort Computing
10,2024-03-15,Filing Cabinet,Furniture,6,1200.00,South,Storage Systems
11,2024-03-20,Laptop Standard,Electronics,12,9600.00,East,Business Solutions
12,2024-04-02,Whiteboard,Office Supplies,8,800.00,North,Office Essentials
13,2024-04-10,Desk Lamp,Furniture,15,750.00,West,Lighting Co
14,2024-04-18,USB Hub,Electronics,25,625.00,South,Connectivity Inc
15,2024-04-25,Bookshelf,Furniture,5,1000.00,East,Storage Masters
16,2024-05-05,Webcam HD,Electronics,18,1800.00,North,Video Tech
17,2024-05-12,Headphones Pro,Electronics,14,2100.00,West,Audio Solutions
18,2024-05-20,Office Sofa,Furniture,3,2700.00,South,Comfort Furniture
19,2024-05-28,Printer Laser,Electronics,6,4800.00,East,Print Solutions
20,2024-06-03,Mouse Pad,Office Supplies,30,300.00,North,Desk Accessories
21,2024-06-10,Monitor Arm,Electronics,10,1500.00,West,Display Mount Co
22,2024-06-15,Executive Chair,Furniture,4,3200.00,South,Premium Seating
23,2024-06-22,Laptop Bag,Office Supplies,20,1000.00,East,Travel Gear
24,2024-06-28,Docking Station,Electronics,8,2400.00,North,Connectivity Pro
25,2024-07-05,Cable Organizer,Office Supplies,40,400.00,West,Desk Solutions
26,2024-07-12,Smartphone,Electronics,9,8100.00,South,Mobile Retail
27,2024-07-18,Desk Mat,Office Supplies,22,660.00,East,Workspace Accessories
28,2024-07-25,Smart Watch,Electronics,11,3850.00,North,Wearable Tech
29,2024-08-02,Notebook Premium,Office Supplies,50,1000.00,West,Stationery Plus
30,2024-08-10,Wireless Charger,Electronics,16,800.00,South,Power Solutions

